fullname,Level of Maternity Care,fipscode
Montgomery,Maternity Care Desert,28097
Neshoba,Low Access to Care,28099
Newton,Maternity Care Desert,28101
Noxubee,Maternity Care Desert,28103
Oktibbeha,Access to Maternity Care,28105
Panola,Access to Maternity Care,28107
Pearl River,Low Access to Care,28109
Perry,Maternity Care Desert,28111
Pike,Access to Maternity Care,28113
Pontotoc,Maternity Care Desert,28115
Prentiss,Maternity Care Desert,28117
Quitman,Maternity Care Desert,28119
Rankin,Access to Maternity Care,28121
Scott,Maternity Care Desert,28123
Sharkey,Maternity Care Desert,28125
Simpson,Maternity Care Desert,28127
Smith,Access to Maternity Care,28129
Stone,Maternity Care Desert,28131
Sunflower,Low Access to Care,28133
Tallahatchie,Maternity Care Desert,28135
Tate,Low Access to Care,28137
Tippah,Maternity Care Desert,28139
Tishomingo,Maternity Care Desert,28141
Tunica,Maternity Care Desert,28143
Union,Access to Maternity Care,28145
Walthall,Maternity Care Desert,28147
Warren,Access to Maternity Care,28149
Washington,Access to Maternity Care,28151
Wayne,Low Access to Care,28153
Webster,Maternity Care Desert,28155
Wilkinson,Maternity Care Desert,28157
Winston,Maternity Care Desert,28159
Yalobusha,Maternity Care Desert,28161
Yazoo,Maternity Care Desert,28163
Beaverhead,Low Access to Care,30001
Big Horn,Access to Maternity Care,30003
Blaine,Maternity Care Desert,30005
Broadwater,Maternity Care Desert,30007
Carbon,Maternity Care Desert,30009
Carter,Maternity Care Desert,30011
Cascade,Access to Maternity Care,30013
Chouteau,Access to Maternity Care,30015
Custer,Access to Maternity Care,30017
Daniels,Maternity Care Desert,30019
Dawson,Access to Maternity Care,30021
Deer Lodge,Low Access to Care,30023
Fallon,Maternity Care Desert,30025
Fergus,Low Access to Care,30027
Flathead,Access to Maternity Care,30029
Gallatin,Access to Maternity Care,30031
Garfield,Maternity Care Desert,30033
Glacier,Maternity Care Desert,30035
Golden Valley,Maternity Care Desert,30037
Granite,Maternity Care Desert,30039
Hill,Access to Maternity Care,30041
Jefferson,Access to Maternity Care,30043
Judith Basin,Maternity Care Desert,30045
Lake,Access to Maternity Care,30047
Lewis and Clark,Access to Maternity Care,30049
Liberty,Maternity Care Desert,30051
Lincoln,Access to Maternity Care,30053
McCone,Maternity Care Desert,30055
Madison,Maternity Care Desert,30057
Meagher,Maternity Care Desert,30059
Mineral,Maternity Care Desert,30061
Missoula,Access to Maternity Care,30063
Musselshell,Maternity Care Desert,30065
Park,Access to Maternity Care,30067
Petroleum,Maternity Care Desert,30069
Phillips,Maternity Care Desert,30071
Pondera,Maternity Care Desert,30073
Powder River,Maternity Care Desert,30075
Powell,Maternity Care Desert,30077
Prairie,Maternity Care Desert,30079
Ravalli,Access to Maternity Care,30081
Richland,Access to Maternity Care,30083
Roosevelt,Access to Maternity Care,30085
Rosebud,Maternity Care Desert,30087
Sanders,Low Access to Care,30089
Sheridan,Maternity Care Desert,30091
Silver Bow,Access to Maternity Care,30093
Stillwater,Access to Maternity Care,30095
Sweet Grass,Maternity Care Desert,30097
Teton,Maternity Care Desert,30099
Toole,Low Access to Care,30101
Treasure,Maternity Care Desert,30103
Valley,Access to Maternity Care,30105
Wheatland,Maternity Care Desert,30107
Wibaux,Maternity Care Desert,30109
Yellowstone,Access to Maternity Care,30111
Alamance,Access to Maternity Care,37001
Alexander,Low Access to Care,37003
Alleghany,Maternity Care Desert,37005
Anson,Maternity Care Desert,37007
Ashe,Low Access to Care,37009
Avery,Access to Maternity Care,37011
Beaufort,Access to Maternity Care,37013
Bertie,Maternity Care Desert,37015
Bladen,Maternity Care Desert,37017
Brunswick,Low Access to Care,37019
Buncombe,Access to Maternity Care,37021
Burke,Access to Maternity Care,37023
Cabarrus,Access to Maternity Care,37025
Caldwell,Access to Maternity Care,37027
Camden,Access to Maternity Care,37029
Carteret,Access to Maternity Care,37031
Caswell,Maternity Care Desert,37033
Catawba,Access to Maternity Care,37035
Chatham,Access to Maternity Care,37037
Cherokee,Access to Maternity Care,37039
Chowan,Access to Maternity Care,37041
Clay,Access to Maternity Care,37043
Cleveland,Access to Maternity Care,37045
Columbus,Low Access to Care,37047
Craven,Access to Maternity Care,37049
Cumberland,Access to Maternity Care,37051
Currituck,Maternity Care Desert,37053
Dare,Access to Maternity Care,37055
Davidson,Low Access to Care,37057
Davie,Access to Maternity Care,37059
Duplin,Access to Maternity Care,37061
Durham,Access to Maternity Care,37063
Edgecombe,Access to Maternity Care,37065
Forsyth,Access to Maternity Care,37067
Franklin,Low Access to Care,37069
Gaston,Access to Maternity Care,37071
Gates,Maternity Care Desert,37073
Graham,Maternity Care Desert,37075
Granville,Access to Maternity Care,37077
Greene,Maternity Care Desert,37079
Guilford,Access to Maternity Care,37081
Halifax,Access to Maternity Care,37083
Harnett,Low Access to Care,37085
Haywood,Access to Maternity Care,37087
Henderson,Access to Maternity Care,37089
Hertford,Access to Maternity Care,37091
Hoke,Low Access to Care,37093
Hyde,Maternity Care Desert,37095
Iredell,Access to Maternity Care,37097
Jackson,Access to Maternity Care,37099
Johnston,Low Access to Care,37101
Jones,Access to Maternity Care,37103
Lee,Access to Maternity Care,37105
Lenoir,Access to Maternity Care,37107
Lincoln,Access to Maternity Care,37109
McDowell,Access to Maternity Care,37111
Macon,Access to Maternity Care,37113
Madison,Maternity Care Desert,37115
Martin,Access to Maternity Care,37117
Mecklenburg,Access to Maternity Care,37119
Mitchell,Maternity Care Desert,37121
Montgomery,Maternity Care Desert,37123
Moore,Access to Maternity Care,37125
Nash,Access to Maternity Care,37127
New Hanover,Access to Maternity Care,37129
Northampton,Maternity Care Desert,37131
Onslow,Access to Maternity Care,37133
Orange,Access to Maternity Care,37135
Pamlico,Maternity Care Desert,37137
Pasquotank,Access to Maternity Care,37139
Pender,Low Access to Care,37141
Perquimans,Maternity Care Desert,37143
Person,Low Access to Care,37145
Pitt,Access to Maternity Care,37147
Polk,Maternity Care Desert,37149
Randolph,Low Access to Care,37151
Richmond,Low Access to Care,37153
Robeson,Access to Maternity Care,37155
Rockingham,Access to Maternity Care,37157
Rowan,Low Access to Care,37159
Rutherford,Access to Maternity Care,37161
Sampson,Low Access to Care,37163
Scotland,Access to Maternity Care,37165
Stanly,Access to Maternity Care,37167
Stokes,Maternity Care Desert,37169
Surry,Access to Maternity Care,37171
Swain,Maternity Care Desert,37173
Transylvania,Access to Maternity Care,37175
Tyrrell,Maternity Care Desert,37177
Union,Access to Maternity Care,37179
Vance,Low Access to Care,37181
Wake,Access to Maternity Care,37183
Warren,Access to Maternity Care,37185
Washington,Maternity Care Desert,37187
Watauga,Access to Maternity Care,37189
Wayne,Low Access to Care,37191
Wilkes,Access to Maternity Care,37193
Wilson,Access to Maternity Care,37195
Yadkin,Access to Maternity Care,37197
Yancey,Access to Maternity Care,37199
Adams,Maternity Care Desert,38001
Barnes,Access to Maternity Care,38003
Benson,Maternity Care Desert,38005
Billings,Maternity Care Desert,38007
Bottineau,Maternity Care Desert,38009
Bowman,Maternity Care Desert,38011
Burke,Maternity Care Desert,38013
Burleigh,Access to Maternity Care,38015
Cass,Access to Maternity Care,38017
Cavalier,Maternity Care Desert,38019
Dickey,Maternity Care Desert,38021
Divide,Maternity Care Desert,38023
Dunn,Maternity Care Desert,38025
Eddy,Maternity Care Desert,38027
Emmons,Maternity Care Desert,38029
Foster,Maternity Care Desert,38031
Golden Valley,Maternity Care Desert,38033
Grand Forks,Access to Maternity Care,38035
Grant,Maternity Care Desert,38037
Griggs,Maternity Care Desert,38039
Hettinger,Maternity Care Desert,38041
Kidder,Maternity Care Desert,38043
La Moure,Maternity Care Desert,38045
Logan,Maternity Care Desert,38047
McHenry,Maternity Care Desert,38049
McIntosh,Maternity Care Desert,38051
McKenzie,Maternity Care Desert,38053
McLean,Maternity Care Desert,38055
Mercer,Maternity Care Desert,38057
Morton,Moderate Access to Care,38059
Mountrail,Maternity Care Desert,38061
Nelson,Maternity Care Desert,38063
Oliver,Maternity Care Desert,38065
Pembina,Maternity Care Desert,38067
Pierce,Maternity Care Desert,38069
Ramsey,Moderate Access to Care,38071
Ransom,Maternity Care Desert,38073
Renville,Maternity Care Desert,38075
Richland,Maternity Care Desert,38077
Rolette,Access to Maternity Care,38079
Sargent,Maternity Care Desert,38081
Sheridan,Maternity Care Desert,38083
Sioux,Maternity Care Desert,38085
Slope,Maternity Care Desert,38087
Stark,Moderate Access to Care,38089
Steele,Maternity Care Desert,38091
Stutsman,Moderate Access to Care,38093
Towner,Maternity Care Desert,38095
Traill,Access to Maternity Care,38097
Walsh,Maternity Care Desert,38099
Ward,Access to Maternity Care,38101
Wells,Maternity Care Desert,38103
Williams,Access to Maternity Care,38105
Adams,Access to Maternity Care,31001
Antelope,Maternity Care Desert,31003
Arthur,Maternity Care Desert,31005
Banner,Maternity Care Desert,31007
Blaine,Maternity Care Desert,31009
Boone,Maternity Care Desert,31011
Box Butte,Maternity Care Desert,31013
Boyd,Maternity Care Desert,31015
Brown,Maternity Care Desert,31017
Buffalo,Access to Maternity Care,31019
Burt,Maternity Care Desert,31021
Butler,Maternity Care Desert,31023
Cass,Access to Maternity Care,31025
Cedar,Maternity Care Desert,31027
Chase,Maternity Care Desert,31029
Cherry,Maternity Care Desert,31031
Cheyenne,Moderate Access to Care,31033
Clay,Maternity Care Desert,31035
Colfax,Maternity Care Desert,31037
Cuming,Maternity Care Desert,31039
Custer,Low Access to Care,31041
Dakota,Maternity Care Desert,31043
Dawes,Maternity Care Desert,31045
Dawson,Low Access to Care,31047
Deuel,Maternity Care Desert,31049
Dixon,Maternity Care Desert,31051
Dodge,Low Access to Care,31053
Douglas,Access to Maternity Care,31055
Dundy,Maternity Care Desert,31057
Fillmore,Moderate Access to Care,31059
Franklin,Maternity Care Desert,31061
Frontier,Maternity Care Desert,31063
Furnas,Maternity Care Desert,31065
Gage,Access to Maternity Care,31067
Garden,Maternity Care Desert,31069
Garfield,Maternity Care Desert,31071
Gosper,Maternity Care Desert,31073
Grant,Maternity Care Desert,31075
Greeley,Maternity Care Desert,31077
Hall,Low Access to Care,31079
Hamilton,Moderate Access to Care,31081
Harlan,Maternity Care Desert,31083
Hayes,Maternity Care Desert,31085
Hitchcock,Maternity Care Desert,31087
Holt,Maternity Care Desert,31089
Hooker,Maternity Care Desert,31091
Howard,Moderate Access to Care,31093
Jefferson,Maternity Care Desert,31095
Johnson,Maternity Care Desert,31097
Kearney,Access to Maternity Care,31099
Keith,Low Access to Care,31101
Keya Paha,Maternity Care Desert,31103
Kimball,Maternity Care Desert,31105
Knox,Maternity Care Desert,31107
Lancaster,Access to Maternity Care,31109
Lincoln,Access to Maternity Care,31111
Logan,Maternity Care Desert,31113
Loup,Maternity Care Desert,31115
McPherson,Maternity Care Desert,31117
Madison,Access to Maternity Care,31119
Merrick,Maternity Care Desert,31121
Morrill,Maternity Care Desert,31123
Nance,Maternity Care Desert,31125
Nemaha,Maternity Care Desert,31127
Nuckolls,Low Access to Care,31129
Otoe,Moderate Access to Care,31131
Pawnee,Maternity Care Desert,31133
Perkins,Maternity Care Desert,31135
Phelps,Maternity Care Desert,31137
Pierce,Maternity Care Desert,31139
Platte,Access to Maternity Care,31141
Polk,Maternity Care Desert,31143
Red Willow,Maternity Care Desert,31145
Richardson,Moderate Access to Care,31147
Rock,Maternity Care Desert,31149
Saline,Maternity Care Desert,31151
Sarpy,Access to Maternity Care,31153
Saunders,Maternity Care Desert,31155
Scotts Bluff,Access to Maternity Care,31157
Seward,Maternity Care Desert,31159
Sheridan,Maternity Care Desert,31161
Sherman,Maternity Care Desert,31163
Sioux,Maternity Care Desert,31165
Stanton,Maternity Care Desert,31167
Thayer,Maternity Care Desert,31169
Thomas,Maternity Care Desert,31171
Thurston,Access to Maternity Care,31173
Valley,Maternity Care Desert,31175
Washington,Moderate Access to Care,31177
Wayne,Moderate Access to Care,31179
Webster,Maternity Care Desert,31181
Wheeler,Maternity Care Desert,31183
York,Maternity Care Desert,31185
Belknap,Access to Maternity Care,33001
Carroll,Access to Maternity Care,33003
Cheshire,Access to Maternity Care,33005
Coos,Access to Maternity Care,33007
Grafton,Access to Maternity Care,33009
Hillsborough,Access to Maternity Care,33011
Merrimack,Access to Maternity Care,33013
Rockingham,Access to Maternity Care,33015
Strafford,Access to Maternity Care,33017
Sullivan,Access to Maternity Care,33019
Atlantic,Access to Maternity Care,34001
Bergen,Access to Maternity Care,34003
Burlington,Access to Maternity Care,34005
Camden,Access to Maternity Care,34007
Cape May,Access to Maternity Care,34009
Cumberland,Low Access to Care,34011
Essex,Access to Maternity Care,34013
Gloucester,Access to Maternity Care,34015
Hudson,Access to Maternity Care,34017
Hunterdon,Access to Maternity Care,34019
Mercer,Access to Maternity Care,34021
Middlesex,Access to Maternity Care,34023
Monmouth,Access to Maternity Care,34025
Morris,Access to Maternity Care,34027
Ocean,Access to Maternity Care,34029
Passaic,Access to Maternity Care,34031
Salem,Access to Maternity Care,34033
Somerset,Access to Maternity Care,34035
Sussex,Access to Maternity Care,34037
Union,Access to Maternity Care,34039
Warren,Access to Maternity Care,34041
Bernalillo,Access to Maternity Care,35001
Catron,Maternity Care Desert,35003
Chaves,Access to Maternity Care,35005
Cibola,Access to Maternity Care,35006
Colfax,Access to Maternity Care,35007
Curry,Access to Maternity Care,35009
De Baca,Maternity Care Desert,35011
Dona Ana,Access to Maternity Care,35013
Eddy,Low Access to Care,35015
Grant,Access to Maternity Care,35017
Guadalupe,Maternity Care Desert,35019
Harding,Maternity Care Desert,35021
Hidalgo,Maternity Care Desert,35023
Lea,Low Access to Care,35025
Lincoln,Access to Maternity Care,35027
Los Alamos,Access to Maternity Care,35028
Luna,Low Access to Care,35029
McKinley,Access to Maternity Care,35031
Mora,Maternity Care Desert,35033
Otero,Low Access to Care,35035
Quay,Maternity Care Desert,35037
Rio Arriba,Access to Maternity Care,35039
Roosevelt,Maternity Care Desert,35041
Sandoval,Access to Maternity Care,35043
San Juan,Access to Maternity Care,35045
San Miguel,Access to Maternity Care,35047
Santa Fe,Access to Maternity Care,35049
Sierra,Maternity Care Desert,35051
Socorro,Low Access to Care,35053
Taos,Access to Maternity Care,35055
Torrance,Maternity Care Desert,35057
Union,Maternity Care Desert,35059
Valencia,Low Access to Care,35061
Churchill,Access to Maternity Care,32001
Clark,Access to Maternity Care,32003
Douglas,Access to Maternity Care,32005
Elko,Access to Maternity Care,32007
Esmeralda,Maternity Care Desert,32009
Eureka,Maternity Care Desert,32011
Humboldt,Maternity Care Desert,32013
Lander,Access to Maternity Care,32015
Lincoln,Access to Maternity Care,32017
Lyon,Maternity Care Desert,32019
Mineral,Maternity Care Desert,32021
Nye,Maternity Care Desert,32023
Pershing,Maternity Care Desert,32027
Storey,Maternity Care Desert,32029
Washoe,Access to Maternity Care,32031
White Pine,Maternity Care Desert,32033
Carson City city,Access to Maternity Care,32510
Albany,Access to Maternity Care,36001
Allegany,Access to Maternity Care,36003
Bronx,Access to Maternity Care,36005
Broome,Access to Maternity Care,36007
Cattaraugus,Moderate Access to Care,36009
Cayuga,Access to Maternity Care,36011
Chautauqua,Access to Maternity Care,36013
Chemung,Access to Maternity Care,36015
Chenango,Access to Maternity Care,36017
Clinton,Access to Maternity Care,36019
Columbia,Access to Maternity Care,36021
Cortland,Access to Maternity Care,36023
Delaware,Access to Maternity Care,36025
Dutchess,Access to Maternity Care,36027
Erie,Access to Maternity Care,36029
Essex,Access to Maternity Care,36031
Franklin,Access to Maternity Care,36033
Fulton,Access to Maternity Care,36035
Genesee,Access to Maternity Care,36037
Greene,Access to Maternity Care,36039
Hamilton,Maternity Care Desert,36041
Herkimer,Moderate Access to Care,36043
Jefferson,Access to Maternity Care,36045
Brooklyn,Access to Maternity Care,36047
Lewis,Access to Maternity Care,36049
Livingston,Moderate Access to Care,36051
Madison,Access to Maternity Care,36053
Monroe,Access to Maternity Care,36055
Montgomery,Moderate Access to Care,36057
Nassau,Access to Maternity Care,36059
Manhattan,Access to Maternity Care,36061
Niagara,Access to Maternity Care,36063
Oneida,Access to Maternity Care,36065
Onondaga,Access to Maternity Care,36067
Ontario,Access to Maternity Care,36069
Orange,Access to Maternity Care,36071
Orleans,Access to Maternity Care,36073
Oswego,Moderate Access to Care,36075
Otsego,Access to Maternity Care,36077
Putnam,Access to Maternity Care,36079
Queens,Access to Maternity Care,36081
Rensselaer,Access to Maternity Care,36083
Staten Island,Access to Maternity Care,36085
Rockland,Access to Maternity Care,36087
St Lawrence,Access to Maternity Care,36089
Saratoga,Access to Maternity Care,36091
Schenectady,Access to Maternity Care,36093
Schoharie,Access to Maternity Care,36095
Schuyler,Moderate Access to Care,36097
Seneca,Maternity Care Desert,36099
Steuben,Access to Maternity Care,36101
Suffolk,Access to Maternity Care,36103
Sullivan,Access to Maternity Care,36105
Tioga,Moderate Access to Care,36107
Tompkins,Access to Maternity Care,36109
Ulster,Access to Maternity Care,36111
Warren,Access to Maternity Care,36113
Washington,Access to Maternity Care,36115
Wayne,Access to Maternity Care,36117
Westchester,Access to Maternity Care,36119
Wyoming,Access to Maternity Care,36121
Yates,Moderate Access to Care,36123
Adams,Moderate Access to Care,39001
Allen,Access to Maternity Care,39003
Ashland,Access to Maternity Care,39005
Ashtabula,Low Access to Care,39007
Athens,Moderate Access to Care,39009
Auglaize,Access to Maternity Care,39011
Belmont,Moderate Access to Care,39013
Brown,Moderate Access to Care,39015
Butler,Access to Maternity Care,39017
Carroll,Maternity Care Desert,39019
Champaign,Moderate Access to Care,39021
Clark,Moderate Access to Care,39023
Clermont,Access to Maternity Care,39025
Clinton,Moderate Access to Care,39027
Columbiana,Moderate Access to Care,39029
Coshocton,Low Access to Care,39031
Crawford,Access to Maternity Care,39033
Cuyahoga,Access to Maternity Care,39035
Darke,Moderate Access to Care,39037
Defiance,Access to Maternity Care,39039
Delaware,Access to Maternity Care,39041
Erie,Access to Maternity Care,39043
Fairfield,Access to Maternity Care,39045
Fayette,Maternity Care Desert,39047
Franklin,Access to Maternity Care,39049
Fulton,Moderate Access to Care,39051
Gallia,Access to Maternity Care,39053
Geauga,Access to Maternity Care,39055
Greene,Access to Maternity Care,39057
Guernsey,Access to Maternity Care,39059
Hamilton,Access to Maternity Care,39061
Hancock,Access to Maternity Care,39063
Hardin,Maternity Care Desert,39065
Harrison,Access to Maternity Care,39067
Henry,Moderate Access to Care,39069
Highland,Moderate Access to Care,39071
Hocking,Moderate Access to Care,39073
Holmes,Low Access to Care,39075
Huron,Moderate Access to Care,39077
Jackson,Maternity Care Desert,39079
Jefferson,Moderate Access to Care,39081
Knox,Access to Maternity Care,39083
Lake,Access to Maternity Care,39085
Lawrence,Maternity Care Desert,39087
Licking,Moderate Access to Care,39089
Logan,Access to Maternity Care,39091
Lorain,Access to Maternity Care,39093
Lucas,Access to Maternity Care,39095
Madison,Access to Maternity Care,39097
Mahoning,Access to Maternity Care,39099
Marion,Access to Maternity Care,39101
Medina,Access to Maternity Care,39103
Meigs,Maternity Care Desert,39105
Mercer,Access to Maternity Care,39107
Miami,Moderate Access to Care,39109
Monroe,Maternity Care Desert,39111
Montgomery,Access to Maternity Care,39113
Morgan,Access to Maternity Care,39115
Morrow,Maternity Care Desert,39117
Muskingum,Access to Maternity Care,39119
Noble,Maternity Care Desert,39121
Ottawa,Access to Maternity Care,39123
Paulding,Maternity Care Desert,39125
Perry,Maternity Care Desert,39127
Pickaway,Moderate Access to Care,39129
Pike,Moderate Access to Care,39131
Portage,Access to Maternity Care,39133
Preble,Moderate Access to Care,39135
Putnam,Maternity Care Desert,39137
Richland,Access to Maternity Care,39139
Ross,Access to Maternity Care,39141
Sandusky,Access to Maternity Care,39143
Scioto,Moderate Access to Care,39145
Seneca,Access to Maternity Care,39147
Shelby,Moderate Access to Care,39149
Stark,Access to Maternity Care,39151
Summit,Access to Maternity Care,39153
Trumbull,Moderate Access to Care,39155
Tuscarawas,Low Access to Care,39157
Union,Access to Maternity Care,39159
Van Wert,Moderate Access to Care,39161
Vinton,Maternity Care Desert,39163
Warren,Access to Maternity Care,39165
Washington,Access to Maternity Care,39167
Wayne,Access to Maternity Care,39169
Williams,Access to Maternity Care,39171
Wood,Access to Maternity Care,39173
Wyandot,Moderate Access to Care,39175
Adair,Low Access to Care,40001
Alfalfa,Maternity Care Desert,40003
Atoka,Maternity Care Desert,40005
Beaver,Maternity Care Desert,40007
Beckham,Low Access to Care,40009
Blaine,Maternity Care Desert,40011
Bryan,Access to Maternity Care,40013
Caddo,Low Access to Care,40015
Canadian,Low Access to Care,40017
Carter,Access to Maternity Care,40019
Cherokee,Access to Maternity Care,40021
Choctaw,Low Access to Care,40023
Cimarron,Maternity Care Desert,40025
Cleveland,Access to Maternity Care,40027
Coal,Maternity Care Desert,40029
Comanche,Access to Maternity Care,40031
Cotton,Maternity Care Desert,40033
Craig,Maternity Care Desert,40035
Creek,Low Access to Care,40037
Custer,Access to Maternity Care,40039
Delaware,Low Access to Care,40041
Dewey,Maternity Care Desert,40043
Ellis,Maternity Care Desert,40045
Garfield,Access to Maternity Care,40047
Garvin,Maternity Care Desert,40049
Grady,Low Access to Care,40051
Grant,Maternity Care Desert,40053
Greer,Maternity Care Desert,40055
Harmon,Maternity Care Desert,40057
Harper,Maternity Care Desert,40059
Haskell,Maternity Care Desert,40061
Hughes,Maternity Care Desert,40063
Jackson,Low Access to Care,40065
Jefferson,Maternity Care Desert,40067
Johnston,Maternity Care Desert,40069
Kay,Low Access to Care,40071
Kingfisher,Maternity Care Desert,40073
Kiowa,Maternity Care Desert,40075
Latimer,Maternity Care Desert,40077
Le Flore,Access to Maternity Care,40079
Lincoln,Maternity Care Desert,40081
Logan,Maternity Care Desert,40083
Love,Access to Maternity Care,40085
McClain,Maternity Care Desert,40087
McCurtain,Low Access to Care,40089
McIntosh,Low Access to Care,40091
Major,Maternity Care Desert,40093
Marshall,Maternity Care Desert,40095
Mayes,Maternity Care Desert,40097
Murray,Access to Maternity Care,40099
Muskogee,Low Access to Care,40101
Noble,Maternity Care Desert,40103
Nowata,Maternity Care Desert,40105
Okfuskee,Maternity Care Desert,40107
Oklahoma county,Access to Maternity Care,40109
Okmulgee,Maternity Care Desert,40111
Osage,Maternity Care Desert,40113
Ottawa,Low Access to Care,40115
Pawnee,Maternity Care Desert,40117
Payne,Access to Maternity Care,40119
Pittsburg,Low Access to Care,40121
Pontotoc,Access to Maternity Care,40123
Pottawatomie,Low Access to Care,40125
Pushmataha,Maternity Care Desert,40127
Roger Mills,Maternity Care Desert,40129
Rogers,Access to Maternity Care,40131
Seminole,Maternity Care Desert,40133
Sequoyah,Maternity Care Desert,40135
Stephens,Low Access to Care,40137
Texas,Low Access to Care,40139
Tillman,Maternity Care Desert,40141
Tulsa county,Access to Maternity Care,40143
Wagoner,Low Access to Care,40145
Washington,Low Access to Care,40147
Washita,Access to Maternity Care,40149
Woods,Maternity Care Desert,40151
Woodward,Maternity Care Desert,40153
Baker,Moderate Access to Care,41001
Benton,Access to Maternity Care,41003
Clackamas,Access to Maternity Care,41005
Clatsop,Access to Maternity Care,41007
Columbia,Moderate Access to Care,41009
Coos,Access to Maternity Care,41011
Crook,Access to Maternity Care,41013
Curry,Access to Maternity Care,41015
Deschutes,Access to Maternity Care,41017
Douglas,Access to Maternity Care,41019
Gilliam,Maternity Care Desert,41021
Grant,Moderate Access to Care,41023
Harney,Access to Maternity Care,41025
Hood River,Access to Maternity Care,41027
Jackson,Access to Maternity Care,41029
Jefferson,Access to Maternity Care,41031
Josephine,Access to Maternity Care,41033
Klamath,Access to Maternity Care,41035
Lake,Access to Maternity Care,41037
Lane,Access to Maternity Care,41039
Lincoln,Access to Maternity Care,41041
Linn,Access to Maternity Care,41043
Malheur,Low Access to Care,41045
Marion,Access to Maternity Care,41047
Morrow,Maternity Care Desert,41049
Multnomah,Access to Maternity Care,41051
Polk,Moderate Access to Care,41053
Sherman,Maternity Care Desert,41055
Tillamook,Access to Maternity Care,41057
Umatilla,Access to Maternity Care,41059
Union,Access to Maternity Care,41061
Wallowa,Access to Maternity Care,41063
Wasco,Access to Maternity Care,41065
Washington,Access to Maternity Care,41067
Wheeler,Maternity Care Desert,41069
Yamhill,Access to Maternity Care,41071
Adams,Access to Maternity Care,42001
Allegheny,Access to Maternity Care,42003
Armstrong,Access to Maternity Care,42005
Beaver,Access to Maternity Care,42007
Bedford,Moderate Access to Care,42009
Berks,Access to Maternity Care,42011
Blair,Access to Maternity Care,42013
Bradford,Access to Maternity Care,42015
Bucks,Access to Maternity Care,42017
Butler,Access to Maternity Care,42019
Cambria,Access to Maternity Care,42021
Cameron,Maternity Care Desert,42023
Carbon,Access to Maternity Care,42025
Centre,Access to Maternity Care,42027
Chester,Access to Maternity Care,42029
Clarion,Moderate Access to Care,42031
Clearfield,Moderate Access to Care,42033
Clinton,Access to Maternity Care,42035
Columbia,Access to Maternity Care,42037
Crawford,Access to Maternity Care,42039
Cumberland,Access to Maternity Care,42041
Dauphin,Access to Maternity Care,42043
Delaware,Access to Maternity Care,42045
Elk,Access to Maternity Care,42047
Erie,Access to Maternity Care,42049
Fayette,Moderate Access to Care,42051
Forest,Maternity Care Desert,42053
Franklin,Access to Maternity Care,42055
Fulton,Access to Maternity Care,42057
Greene,Maternity Care Desert,42059
Huntingdon,Access to Maternity Care,42061
Indiana,Access to Maternity Care,42063
Jefferson,Access to Maternity Care,42065
Juniata,Maternity Care Desert,42067
Lackawanna,Access to Maternity Care,42069
Lancaster,Access to Maternity Care,42071
Lawrence,Moderate Access to Care,42073
Lebanon,Access to Maternity Care,42075
Lehigh,Access to Maternity Care,42077
Luzerne,Access to Maternity Care,42079
Lycoming,Access to Maternity Care,42081
McKean,Access to Maternity Care,42083
Mercer,Moderate Access to Care,42085
Mifflin,Access to Maternity Care,42087
Monroe,Access to Maternity Care,42089
Montgomery,Access to Maternity Care,42091
Montour,Access to Maternity Care,42093
Northampton,Access to Maternity Care,42095
Northumberland,Moderate Access to Care,42097
Perry,Moderate Access to Care,42099
Philadelphia,Access to Maternity Care,42101
Pike,Access to Maternity Care,42103
Potter,Access to Maternity Care,42105
Schuylkill,Moderate Access to Care,42107
Snyder,Moderate Access to Care,42109
Somerset,Access to Maternity Care,42111
Sullivan,Maternity Care Desert,42113
Susquehanna,Moderate Access to Care,42115
Tioga,Moderate Access to Care,42117
Union,Access to Maternity Care,42119
Venango,Moderate Access to Care,42121
Warren,Access to Maternity Care,42123
Washington,Access to Maternity Care,42125
Wayne,Access to Maternity Care,42127
Westmoreland,Access to Maternity Care,42129
Wyoming,Maternity Care Desert,42131
York,Access to Maternity Care,42133
Bristol,Access to Maternity Care,44001
Kent,Access to Maternity Care,44003
Newport,Access to Maternity Care,44005
Providence,Access to Maternity Care,44007
Washington,Access to Maternity Care,44009
Abbeville,Maternity Care Desert,45001
Aiken,Access to Maternity Care,45003
Allendale,Maternity Care Desert,45005
Anderson,Access to Maternity Care,45007
Bamberg,Access to Maternity Care,45009
Barnwell,Maternity Care Desert,45011
Beaufort,Access to Maternity Care,45013
Berkeley,Low Access to Care,45015
Calhoun,Access to Maternity Care,45017
Charleston,Access to Maternity Care,45019
Cherokee,Low Access to Care,45021
Chester,Maternity Care Desert,45023
Chesterfield,Low Access to Care,45025
Clarendon,Access to Maternity Care,45027
Colleton,Maternity Care Desert,45029
Darlington,Access to Maternity Care,45031
Dillon,Low Access to Care,45033
Dorchester,Access to Maternity Care,45035
Edgefield,Access to Maternity Care,45037
Fairfield,Low Access to Care,45039
Florence,Access to Maternity Care,45041
Georgetown,Access to Maternity Care,45043
Greenville,Access to Maternity Care,45045
Greenwood,Access to Maternity Care,45047
Hampton,Low Access to Care,45049
Horry,Access to Maternity Care,45051
Jasper,Maternity Care Desert,45053
Kershaw,Low Access to Care,45055
Lancaster,Low Access to Care,45057
